revenue|date|num|city
1552600|2016-11-16 15:13:00|3|Cambridge
345468|2018-02-22 13:08:00|3|London
1012061|2016-01-15 15:38:00|3|Durham
21651|2015-03-13 12:00:00|3|London
769095|2017-11-30 14:49:00|4|Oxford
1482607|2016-03-29 13:26:00|4|Cambridge
777250|2017-12-28 10:24:00|3|Oxford
1588503|2017-03-16 10:10:00|3|Cambridge
1094989|2016-10-18 15:29:00|3|Durham
432080|2018-12-07 11:14:00|4|London
1601052|2017-04-26 15:50:00|3|Cambridge
1767579|2018-11-01 12:41:00|3|Cambridge
1537699|2016-09-28 12:27:00|3|Cambridge
1373219|2015-03-31 14:38:00|1|Cambridge
500187|2015-06-22 09:39:00|3|Oxford
1092599|2016-10-11 10:44:00|4|Durham
1658152|2017-11-02 13:14:00|2|Cambridge
1769559|2018-11-08 10:36:00|3|Cambridge
525099|2015-09-11 10:52:00|3|Oxford
1515958|2016-07-18 14:58:00|4|Cambridge
1140644|2017-03-20 11:35:00|3|Durham
12175|2015-02-10 15:27:00|1|London
426248|2018-11-19 12:16:00|3|London
915322|2015-03-02 10:08:00|2|Durham
946801|2015-06-12 15:33:00|3|Durham
884679|2018-12-20 11:38:00|1|Oxford
1097349|2016-10-26 12:43:00|3|Durham
1205340|2017-10-20 09:17:00|1|Durham
617831|2016-07-15 12:44:00|3|Oxford
317922|2017-11-23 10:07:00|3|London
995805|2015-11-24 11:20:00|4|Durham
812398|2018-04-24 13:49:00|3|Oxford
379699|2018-06-15 15:18:00|2|London
1625603|2017-07-18 11:02:00|2|Cambridge
188359|2016-09-19 11:52:00|2|London
1478289|2016-03-15 11:38:00|1|Cambridge
414584|2018-10-10 14:20:00|4|London
1503407|2016-06-07 09:16:00|4|Cambridge
1598545|2017-04-19 09:08:00|3|Cambridge
886091|2018-12-25 14:07:00|4|Oxford
906494|2015-01-30 10:21:00|3|Durham
1027968|2016-03-09 14:07:00|4|Durham
593342|2016-04-26 11:33:00|3|Oxford
1646874|2017-09-26 14:43:00|4|Cambridge
865112|2018-10-16 15:18:00|2|Oxford
1437819|2015-11-02 10:44:00|3|Cambridge
479735|2015-04-14 12:36:00|2|Oxford
759787|2017-10-31 14:03:00|4|Oxford
1180371|2017-07-28 14:08:00|3|Durham
952632|2015-07-02 14:30:00|3|Durham
661762|2016-12-08 15:11:00|3|Oxford
1718286|2018-05-22 12:05:00|3|Cambridge
1147625|2017-04-11 15:40:00|1|Durham
734986|2017-08-09 14:41:00|3|Oxford
347086|2018-02-28 12:02:00|2|London
574571|2016-02-23 14:27:00|3|Oxford
1288631|2018-07-24 15:11:00|3|Durham
1564226|2016-12-26 12:31:00|3|Cambridge
560175|2016-01-06 13:05:00|2|Oxford
1366946|2015-03-10 15:20:00|4|Cambridge
82375|2015-10-01 13:40:00|2|London
1429099|2015-10-02 12:45:00|3|Cambridge
1413446|2015-08-12 11:29:00|4|Cambridge
473134|2015-03-23 14:51:00|4|Oxford
1104442|2016-11-18 11:39:00|3|Durham
1004170|2015-12-22 10:25:00|3|Durham
1601162|2017-04-27 10:39:00|3|Cambridge
1539816|2016-10-05 12:39:00|3|Cambridge
696600|2017-04-04 13:26:00|4|Oxford
1603796|2017-05-05 12:27:00|1|Cambridge
1053448|2016-06-02 10:46:00|3|Durham
1203743|2017-10-16 10:44:00|3|Durham
774507|2017-12-19 13:48:00|2|Oxford
1587900|2017-03-14 14:09:00|3|Cambridge
1107436|2016-11-29 12:26:00|2|Durham
859441|2018-09-27 12:00:00|3|Oxford
419312|2018-10-25 15:57:00|4|London
164518|2016-06-30 14:28:00|4|London
1392249|2015-06-03 09:02:00|3|Cambridge
797186|2018-03-05 12:53:00|4|Oxford
1607197|2017-05-17 13:00:00|4|Cambridge
1581577|2017-02-21 14:01:00|3|Cambridge
1429000|2015-10-02 11:06:00|1|Cambridge
781031|2018-01-10 10:16:00|3|Oxford
1272849|2018-06-01 11:46:00|3|Durham
722750|2017-06-29 14:14:00|2|Oxford
1541989|2016-10-12 13:47:00|2|Cambridge
739960|2017-08-25 13:23:00|3|Oxford
710524|2017-05-19 13:57:00|1|Oxford
215694|2016-12-19 11:22:00|3|London
465152|2015-02-24 15:08:00|1|Oxford
519560|2015-08-25 09:46:00|4|Oxford
1559667|2016-12-09 13:43:00|4|Cambridge
1006953|2015-12-30 14:42:00|3|Durham
189349|2016-09-21 14:20:00|3|London
1101583|2016-11-09 13:07:00|3|Durham
362550|2018-04-20 10:09:00|1|London
225590|2017-01-19 14:55:00|4|London
789898|2018-02-08 10:42:00|3|Oxford
30586|2015-04-13 13:34:00|4|London
915677|2015-03-03 09:02:00|3|Durham
934653|2015-05-05 09:33:00|4|Durham
13324|2015-02-13 13:33:00|3|London
1197279|2017-09-22 15:16:00|2|Durham
768045|2017-11-28 11:21:00|1|Oxford
1270093|2018-05-23 14:57:00|3|Durham
910022|2015-02-11 13:01:00|3|Durham
265754|2017-06-02 10:43:00|3|London
1266593|2018-05-11 12:45:00|1|Durham
962382|2015-08-04 15:37:00|3|Durham
588128|2016-04-07 15:52:00|2|Oxford
1494197|2016-05-06 10:08:00|3|Cambridge
895250|2019-01-24 12:24:00|2|Oxford
1700217|2018-03-22 12:39:00|2|Cambridge
266466|2017-06-05 15:34:00|3|London
419186|2018-10-25 13:51:00|3|London
473983|2015-03-25 14:58:00|3|Oxford
893654|2019-01-18 13:52:00|3|Oxford
1153239|2017-05-01 11:00:00|3|Durham
740300|2017-08-28 12:02:00|4|Oxford
869482|2018-10-31 10:57:00|2|Oxford
1252203|2018-03-26 11:29:00|4|Durham
1366551|2015-03-09 15:46:00|2|Cambridge
818533|2018-05-15 10:49:00|2|Oxford
1043797|2016-05-02 11:18:00|4|Durham
864184|2018-10-12 13:52:00|3|Oxford
272616|2017-06-26 12:49:00|3|London
1629970|2017-08-01 13:39:00|3|Cambridge
1377814|2015-04-15 14:02:00|2|Cambridge
1166784|2017-06-14 12:13:00|3|Durham
916970|2015-03-06 09:32:00|4|Durham
631357|2016-08-30 13:38:00|3|Oxford
474334|2015-03-26 13:48:00|1|Oxford
1511303|2016-07-01 14:34:00|3|Cambridge
1123370|2017-01-20 11:22:00|1|Durham
325176|2017-12-18 11:44:00|2|London
306120|2017-10-16 09:53:00|3|London
801688|2018-03-20 10:44:00|3|Oxford
60558|2015-07-21 14:55:00|3|London
688782|2017-03-09 09:26:00|3|Oxford
1187889|2017-08-23 13:08:00|1|Durham
1596184|2017-04-11 11:53:00|4|Cambridge
283626|2017-08-01 13:53:00|3|London
1775018|2018-11-27 10:22:00|3|Cambridge
1525431|2016-08-18 11:28:00|3|Cambridge
1718506|2018-05-22 15:45:00|3|Cambridge
747124|2017-09-19 13:30:00|4|Oxford
509006|2015-07-21 09:17:00|4|Oxford
1118|2015-01-05 13:36:00|3|London
790180|2018-02-08 15:24:00|2|Oxford
1098621|2016-10-31 12:52:00|3|Durham
978311|2015-09-25 14:28:00|3|Durham
1172391|2017-07-03 14:27:00|4|Durham
566441|2016-01-27 12:16:00|4|Oxford
1322123|2018-11-13 12:03:00|3|Durham
128996|2016-03-04 11:50:00|4|London
1250884|2018-03-21 10:33:00|3|Durham
808318|2018-04-10 15:59:00|1|Oxford
174547|2016-08-03 13:13:00|4|London
1128914|2017-02-08 12:33:00|3|Durham
1429313|2015-10-05 09:18:00|3|Cambridge
1483203|2016-03-31 09:20:00|2|Cambridge
1135094|2017-03-01 10:18:00|3|Durham
809791|2018-04-16 12:28:00|4|Oxford
614477|2016-07-05 12:58:00|1|Oxford
916177|2015-03-04 10:21:00|3|Durham
438094|2018-12-27 13:14:00|4|London
160890|2016-06-20 10:08:00|4|London
597759|2016-05-10 15:00:00|2|Oxford
108269|2015-12-28 10:12:00|3|London
715962|2017-06-07 13:22:00|3|Oxford
863497|2018-10-11 09:26:00|2|Oxford
492484|2015-05-26 14:35:00|4|Oxford
678753|2017-02-03 10:41:00|2|Oxford
456093|2015-01-26 11:30:00|3|Oxford
836787|2018-07-13 13:20:00|3|Oxford
657215|2016-11-24 09:34:00|4|Oxford
61071|2015-07-23 09:26:00|3|London
758719|2017-10-27 10:17:00|3|Oxford
1153664|2017-05-02 11:04:00|2|Durham
556147|2015-12-24 09:06:00|3|Oxford
